OBJECTID,ID_4Digit,Name,Latitude,Longitude,Address,Advertised Hours,Confirmed Hours:,Confirmed Hours Other:,Showers,Menstrual Products,ADA Accessible,Baby Changing,Gender Neutral,Restroom Open Status,Restroom Assessed,Category,Public Buildings,Outdoor Facilities,Government Facilities,Other,Commercial,Transportation (MTS),PSJ Team Internal Notes,Public Restrooms in San Diego,Operated By,GlobalID,CreationDate,Creator,EditDate,Editor,Restroom assessment date:
476,1195,Escondido Police and Fire Headquarters,33.13690651,-117.0942756,"1163 Centre City Parkway, Escondido, CA 92026","8:00am - 6:30pm, daily",,,,,,,,,,,,,,,,,,1,City of Escondido,01ac80ab-d0ee-4f18-b22f-4454504c37eb,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
477,1122,Clemmens Lane County Park,33.36892836,-117.2543231,"344 W Clemmens Ln, Fallbrook, CA 92028","8:00am - 6:30pm, daily",,,,,,,,,,,,,,,,,,1,San Diego County,0969fed1-ca19-4bcc-90bf-ed614d21806c,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
479,1277,Jesmond Dene Park,33.16752624,-117.0920869,"2401 N Broadway, Escondido, CA 92026","8:00am - 7:30pm, daily",,,,,,,,,,,,,,,,,,1,City of Escondido,d9f4b47b-661a-4ae4-a418-81e7bdc8429e,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
480,1130,Corky Smith Gym,33.142303,-117.1671901,"274 Pico Ave, San Marcos, CA 92069","8:00am - 7:00pm, daily",,,,,,,,,,,,,,,,,,1,City of San Marcos,85ddaa79-8a8f-4d94-9ced-f7869160bd56,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
481,1339,Live Oak County Park,33.36408198,-117.2044969,"2746 Reche Rd, Fallbrook, CA 92028","8:00am - 7:00pm, daily",,,,,,,,,,,,,,,,,,1,San Diego County,4f74c441-e4b4-4eae-b639-477a491e8723,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
482,1498,Rainbow County Park,33.4133519,-117.1501969,"5157 5th St, Fallbrook, CA 92028","8:00am - 8:00pm, daily",,,,,,,,,,,,,,,,,,1,San Diego County,4e491d0e-865c-4456-9e6a-899aa704204a,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
483,1007,4th of July Park,33.10262044,-117.1323869,"2815 Starry Night Dr, Escondido, CA 92029","8:00am - 8:00pm, daily",,,,,,,,,,,,,,,,,,1,City of Escondido,6c1ec7cc-782b-43d8-8de6-5d4cb15f8613,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
484,1017,Alga Norte Park,33.11478288,-117.2635917,"6565 Alicante Rd, Carlsbad, CA 92009","8:00am - 8:00pm, daily",,,,,,,,,,,,,,,,,,1,City of Carlsbad,8dc5de5f-0b7c-466c-9c06-86f364eb027a,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
485,1714,Alga Norte SkatePark,33.11854604,-117.2635416,"6565 Alicante Rd, Carlsbad, CA 92009","8:00am - 8:00pm, daily",,,,,,,,,,,,,,,,,,1,City of Carlsbad,4041c448-975f-4454-8337-8f725e3e9d19,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
486,1620,Tijuana River Valley Regional Park,32.54478943,-117.0745453,"2721 Monument Rd, San Diego, CA 92154","8:00am - 8:00pm, daily",,,,,,,,,,,,,,,,,,1,San Diego County,ab972d66-41aa-48cc-8fad-333a94e9b8cf,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
487,1218,Garden Road Park,32.95642251,-117.0103956,"14898 Garden Road, Poway, CA 92064","8:00am - 9:00pm, daily",,,,,,,,1,,,,,,,,,,1,City of Poway,955c2274-27c5-4d83-9681-b7850e1f3af9,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
488,1773,Encinitas Community and Senior Center,33.04512733,-117.2671974,"1140 Oakcrest Park Dr, Encinitas, CA 92024","8:00am - 9:00pm, daily",,,,,,,,,,,,,,,,,,1,City of Encinitas,feea10cc-058a-4cef-9526-534ac86c86a3,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
489,1768,Chase Field,33.15696308,-117.340777,"3349 Harding St, Carlsbad, CA 92008","8:00am - 9:00pm, daily",,,,,,,,,,,,,,,,,,1,City of Carlsbad,90819523-30e6-457c-8331-69039f5eea14,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
490,1798,Poway Community Park,32.95263086,-117.0474201,"13094 Civic Center Dr, Poway, CA 92064","8:00am to Sunset, daily",1,,1,0,1,0,0,1,3,2,,1,,,,,,0,City of Poway,b6a66fa7-44c0-4d8d-9190-efb07f75b28f,42:35.3,arios8883_SDSUGeo,07:57.1,,07:29.3
491,1325,Leo Mullen Sports Park,33.06315399,-117.2635467,"951 Via Cantebria, Encinitas, CA 92024","8:00am to Sunset, daily",,,,,,,,,,,,,,,,,,1,City of Encinitas,162d6a32-16af-48df-8bb7-7849fc3e9fdd,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
492,1572,Solana Beach Transit Center,32.99295957,-117.2712537,"105 N Cedros Ave, Solana Beach, CA 92075","8:00am to Sunset, daily",,,,,,,,,,,,,,,,,,1,Amtrak,00e8b241-b3bd-477d-8939-ec53e45a97e9,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
493,1228,Goodan Ranch Visitor's Center,32.92736731,-116.9860516,"Sycamore Canyon Rd, Poway, CA 92064","8:00am to Sunset, daily",,,,,,,,,,,,,,,,,,1,San Diego County,96131921-4406-481e-82c2-943ce0315b65,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
494,1227,Sycamore Canyon Trailhead,32.94114354,-116.9803646,"16281 Sycamore Canyon Rd, Poway, CA 92064","9:30am - 5:30pm, daily",,,,,,,,,,,,,,,,,,1,San Diego County,8edf85bb-b649-4ddc-9cd4-6563f2834399,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
